NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,,single_combination,Dose_finding,Design,other_design,more_than_one_drug,n_finding,dose_level,comment_finding,Dose_expansion,n_expansion,toxicity_stopping_rule,comment_expansion,phase2,n_phase2,comment_phase2,,,,,
NCT03340974,Pilot Dose Escalation Trial of Stereotactic Body Radiation Therapy (SBRT) in Combination With GC4419 in Pancreatic Cancer,https://clinicaltrials.gov/study/NCT03340974,COMPLETED,Pancreatic Cancer|Stereotactic Body Radiation Therapy,DRUG: GC4419|DRUG: Placebo|RADIATION: Stereotactic Radiation Therapy (SBRT) 50 Gy|RADIATION: Stereotactic Radiation Therapy (SBRT) 55 Gy,"Galera Therapeutics, Inc.",M.D. Anderson Cancer Center,INTERVENTIONAL,,Combination,Yes,Other,Parallel Assignment,Yes,42,3,,No,,,,Yes,42,total enrollment N=42,,,,,
NCT03711604,Compassionate Use Study of Tenalisib (RP6530),https://clinicaltrials.gov/study/NCT03711604,COMPLETED,Hematological Malignancies,DRUG: Tenalisib,Rhizen Pharmaceuticals SA,,INTERVENTIONAL,,Both,Yes,,,No,,,,No,,,,Yes,17,total enrollment N=17,,,,,
NCT04034238,"Mesothelin-Targeted Immunotoxin LMB-100 in Combination With Tofacitinib in Persons With Previously Treated Pancreatic Adenocarcinoma, Cholangiocarcinoma and Other Mesothelin Expressing Solid Tumors",https://clinicaltrials.gov/study/NCT04034238,COMPLETED,"Neoplasms With Mesothelin Expression|Epithelioid Mesothelioma|Cholangiocarcinoma, Extrahepatic|Adenocarcinoma, Pancreatic",DRUG: LMB-100|DRUG: Tofacitinib|DEVICE: Mesothelin Expression,National Cancer Institute (NCI),,INTERVENTIONAL,,Combination,Yes,3+3,,No,19,2,,Yes,19,No,,No,,,,,,,
NCT04538950,PET/CT Quantitative Assessment of Myocardial Blood Flow Changes in Oncologic Patients Receiving Checkpoint Inhibitor Therapy,https://clinicaltrials.gov/study/NCT04538950,COMPLETED,Cancer,DIAGNOSTIC_TEST: PET/CT|DRUG: radioactive drug (tracer),Mayo Clinic,,INTERVENTIONAL,,Single ,No,,,,,,,No,,,,Yes,6,,,,,,
NCT03733210,Panitumumab-IRDye800 and 89Zr-Panitumumab in Identifying Metastatic Lymph Nodes in Patients With Squamous Cell Head and Neck Cancer,https://clinicaltrials.gov/study/NCT03733210,COMPLETED,Squamous Cell Carcinoma of the Head and Neck|Carcinoma of the Head and Neck,DRUG: Panitumumab-IRDye800|DRUG: 89-Zirconium (Zr-89) Panitumumab|DEVICE: Pinpoint IR IR9000 fluorescence imaging system (FIS)|DEVICE: SPY-PHI IR9000 fluorescence imaging system (FIS)|DEVICE: Explorer Air camera|DEVICE: PDE-NEO II camera|DEVICE: FIS-00 fluorescence imaging system (FIS)|DEVICE: Da Vinci Firefly Imaging System|DEVICE: IGP-ELVIS-v4 Macroscopic Specimen Imager|DEVICE: Vevo 3100 LAZR-X|DEVICE: Pearl Triology Imaging System|DEVICE: Odyssey CLx Imaging System|DEVICE: Leica fluorescence microscope,Andrei Iagaru,National Institutes of Health (NIH)|National Cancer Institute (NCI),INTERVENTIONAL,,Combination,No,,,,,,,No,,,,No,,,,,,,
NCT03340766,Study Investigating the Safety and Efficacy of Blinatumomab in Combination With Pembrolizumab in Adults With Relapsed or Refractory Diffuse Large B Cell Lymphoma (DLBCL),https://clinicaltrials.gov/study/NCT03340766,COMPLETED,Relapsed or Refractory Diffuse Large B Cell Lymphoma (DLBCL),DRUG: Blinatumomab|DRUG: Pembrolizumab,Amgen,Merck Sharp & Dohme LLC,INTERVENTIONAL,,Combination,Yes,Other,Sequential Assignment,No,31,3,,Yes,,No,,No,,,,,,,
NCT03831711,68-Ga-RM2 PET/MRI in Imaging Patients With Estrogen Receptor-Positive Breast Cancer,https://clinicaltrials.gov/study/NCT03831711,COMPLETED,Breast Carcinoma|Estrogen Receptor Positive,DRUG: Gallium Ga 68-labeled GRPR Antagonist BAY86-7548|PROCEDURE: Magnetic Resonance Imaging|PROCEDURE: Positron Emission Tomography|DEVICE: Investigational software and coils in PET/MR scan,Andrei Iagaru,General Electric,INTERVENTIONAL,,Single ,No,,,,93,,,No,,,,No,,,,,,,
NCT03684811,A Study of FT-2102 in Patients With Advanced Solid Tumors and Gliomas With an IDH1 Mutation,https://clinicaltrials.gov/study/NCT03684811,COMPLETED,"Cohort 1a and 1b: Glioma (Advanced Gliomas and Glioblastoma Multiforme)|Cohort 2a and 2b: Hepatobiliary Tumors (Hepatocellular Carcinoma, Bile Duct Carcinoma, Intrahepatic Cholangiocarcinoma, Other Hepatobiliary Carcinomas)|Cohort 3a and 3b: Chondrosarcoma|Cohort 4a and 4b: Intrahepatic Cholangiocarcinoma|Cohort 5a: Other Non-Central Nervous System Solid Tumors With IDH1 Mutations",DRUG: FT-2102|DRUG: Azacitidine|BIOLOGICAL: Nivolumab|DRUG: Gemcitabine and Cisplatin,"Forma Therapeutics, Inc.",,INTERVENTIONAL,,Combination,Yes,3+3,,No,8,2,,Yes,93,No,,Yes,93,total enrollment N=93,,,,,
NCT03309878,Mogamulizumab and Pembrolizumab in Treating Patients With Relapsed or Refractory Diffuse Large B Cell Lymphoma,https://clinicaltrials.gov/study/NCT03309878,COMPLETED,Recurrent Diffuse Large B-Cell Lymphoma|Recurrent High Grade B-Cell Lymphoma|Recurrent Transformed B-Cell Non-Hodgkin Lymphoma|Refractory Diffuse Large B-Cell Lymphoma|Refractory High Grade B-Cell Lymphoma|Refractory Transformed B-Cell Non-Hodgkin Lymphoma,BIOLOGICAL: Mogamulizumab|BIOLOGICAL: Pembrolizumab,National Cancer Institute (NCI),,INTERVENTIONAL,,Combination,Yes,3+3,,No,,1,,,,No,,Yes,8,total enrollment N=8,,,,,
NCT03822871,A Trial of CTT1403 for Metastatic Castration Resistant Prostate Cancer,https://clinicaltrials.gov/study/NCT03822871,COMPLETED,Prostate Cancer,DRUG: CTT1403|DRUG: CTT1057|DRUG: 68Ga-PSMA-11,Cancer Targeted Technology,"University of California, San Francisco|National Cancer Institute (NCI)",INTERVENTIONAL,,Single ,Yes,3+3,,No,17,10,,Yes,17,No,,No,,,,,,,
NCT03426605,A Study of LAM-003 in Patients With Acute Myeloid Leukemia,https://clinicaltrials.gov/study/NCT03426605,COMPLETED,Oncology|Acute Myeloid Leukemia,DRUG: Open Label LAM-003,OrphAI Therapeutics,,INTERVENTIONAL,,Single ,Yes,3+3,,No,17,3,,No,,,,No,,,,,,,
NCT03987854,The University of Michigan PCOS Intervention Using Nutritional Ketosis,https://clinicaltrials.gov/study/NCT03987854,COMPLETED,Polycystic Ovary Syndrome,BEHAVIORAL: diet and lifestyle program,University of Michigan,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),INTERVENTIONAL,,None,No,,,,,,,No,,,,No,,,,,,,
NCT03813147,"Pevonedistat, Azacitidine, Fludarabine Phosphate, and Cytarabine in Treating Patients With Relapsed or Refractory Acute Myeloid Leukemia or Myelodysplastic Syndrome",https://clinicaltrials.gov/study/NCT03813147,COMPLETED,Acute Myeloid Leukemia Arising From Previous Myelodysplastic Syndrome|Recurrent Acute Myeloid Leukemia|Recurrent Myelodysplastic Syndrome|Refractory Acute Myeloid Leukemia|Refractory Myelodysplastic Syndrome,DRUG: Azacitidine|DRUG: Cytarabine|DRUG: Fludarabine Phosphate|DRUG: Methotrexate|DRUG: Pevonedistat|DRUG: Therapeutic Hydrocortisone,National Cancer Institute (NCI),Children's Oncology Group,INTERVENTIONAL,,Combination,Yes,Other,Rolling 6 Design,No,12,2,,No,,,,No,,,,,,,
NCT03848845,"Study Evaluating Safety, Tolerability and Clinical Activity of GSK2857916 in Combination With Pembrolizumab in Subjects With Relapsed/Refractory Multiple Myeloma (RRMM)",https://clinicaltrials.gov/study/NCT03848845,COMPLETED,Multiple Myeloma,DRUG: belantamab mafodotin|DRUG: Pembrolizumab,GlaxoSmithKline,Merck Sharp & Dohme LLC,INTERVENTIONAL,,Combination,Yes,,,No,41,2,,Yes,41,No,,Yes,41,total enrollment N=41,,,,,
NCT03532451,Phase Ib Feasibility Trial of Neoadjuvant Nivolumab/Lirilumab in Cisplatin-Ineligible Muscle-Invasive Bladder Cancer,https://clinicaltrials.gov/study/NCT03532451,COMPLETED,Bladder Cancer,DRUG: Nivolumab|DRUG: Nivolumab/Lirilumab,"PrECOG, LLC.",Bristol-Myers Squibb,INTERVENTIONAL,,Both,No,,,,,,,Yes,43,Yes,,No,,,,,,,
NCT04147247,A Trial to Find the Safe Dose for BI 905681 in Patients With Incurable Tumours or Tumours That Have Spread,https://clinicaltrials.gov/study/NCT04147247,COMPLETED,Neoplasms,DRUG: BI 905681,Boehringer Ingelheim,,INTERVENTIONAL,,Single ,Yes,Other,EWOK,No,21,5,,Yes,21,Yes,,No,,,,,,,
NCT04216251,PRevention Using EPA Against coloREctal Cancer,https://clinicaltrials.gov/study/NCT04216251,COMPLETED,Colorectal Adenoma|Colorectal Cancer|Endoscopic Surgery|Eicosapentaenoic Acid|Gastrointestinal Microbiome,DRUG: AMR101,Massachusetts General Hospital,National Institutes of Health (NIH),INTERVENTIONAL,,Single ,No,,,,,,,No,,,,No,,,,,,,
NCT03323151,A Study of Ixazomib and Ibrutinib in Relapsed/Refractory Mantle Cell Lymphoma,https://clinicaltrials.gov/study/NCT03323151,COMPLETED,Mantle-Cell Lymphoma,DRUG: Ixazomib|DRUG: Ixazomib|DRUG: Ibrutinib|DRUG: Ibrutinib,"PrECOG, LLC.",Takeda,INTERVENTIONAL,,Combination,Yes,3+3,,Yes,,3,,,,,,Yes,43,43,,,,,
